year,metric,sex,value
2025-2026,applied,male,31609
2025-2026,applied,female,29011
2025-2026,applied,unknown,26
2025-2026,admitted,male,1162
2025-2026,admitted,female,1140
2025-2026,admitted,unknown,0
2025-2026,enrolled,male,945
2025-2026,enrolled,female,894
2025-2026,enrolled,unknown,0
2024-2025,applied,male,29602
2024-2025,applied,female,27724
2024-2025,admitted,male,1015
2024-2025,admitted,female,1052
2024-2025,enrolled,male,835
2024-2025,enrolled,female,858
2023-2024,applied,male,27133
2023-2024,applied,female,26600
2023-2024,admitted,male,1044
2023-2024,admitted,female,1055
2023-2024,enrolled,male,846
2023-2024,enrolled,female,853
2022-2023,applied,male,28379
2022-2023,applied,female,27999
2022-2023,admitted,male,948
2022-2023,admitted,female,1127
2022-2023,enrolled,male,794
2022-2023,enrolled,female,942
2021-2022,applied,male,28332
2021-2022,applied,female,27139
2021-2022,admitted,male,1068
2021-2022,admitted,female,1122
2021-2022,enrolled,male,861
2021-2022,enrolled,female,896
2020-2021,applied,male,23801
2020-2021,applied,female,21426
2020-2021,admitted,male,1127
2020-2021,admitted,female,1222
2020-2021,enrolled,male,777
2020-2021,enrolled,female,830
2019-2020,applied,male,24902
2019-2020,applied,female,22596
2019-2020,admitted,male,987
2019-2020,admitted,female,1075
2019-2020,enrolled,male,823
2019-2020,enrolled,female,878
2018-2019,applied,male,24692
2018-2019,applied,female,22760
2018-2019,admitted,male,1048
2018-2019,admitted,female,1023
2018-2019,enrolled,male,866
2018-2019,enrolled,female,831
2017-2018,applied,male,23254
2017-2018,applied,female,20819
2017-2018,admitted,male,1019
2017-2018,admitted,female,1066
2017-2018,enrolled,male,827
2017-2018,enrolled,female,876
2016-2017,applied,male,23005
2016-2017,applied,female,20992
2016-2017,admitted,male,1031
2016-2017,admitted,female,1087
2016-2017,enrolled,male,854
2016-2017,enrolled,female,885
2015-2016,applied,male,22831
2015-2016,applied,female,19666
2015-2016,admitted,male,1073
2015-2016,admitted,female,1067
2015-2016,enrolled,male,867
2015-2016,enrolled,female,853
2014-2015,applied,male,22536
2014-2015,applied,female,19631
2014-2015,admitted,male,1083
2014-2015,admitted,female,1062
2014-2015,enrolled,male,857
2014-2015,enrolled,female,821
2013-2014,applied,male,20464
2013-2014,applied,female,18364
2013-2014,admitted,male,1147
2013-2014,admitted,female,1061
2013-2014,enrolled,male,904
2013-2014,enrolled,female,773
2012-2013,applied,male,19192
2012-2013,applied,female,17440
2012-2013,admitted,male,1306
2012-2013,admitted,female,1117
2012-2013,enrolled,male,931
2012-2013,enrolled,female,834
2011-2012,applied,male,17817
2011-2012,applied,female,16531
2011-2012,admitted,male,1278
2011-2012,admitted,female,1159
2011-2012,enrolled,male,896
2011-2012,enrolled,female,811
2010-2011,applied,male,16527
2010-2011,applied,female,15495
2010-2011,admitted,male,1233
2010-2011,admitted,female,1107
2010-2011,enrolled,male,878
2010-2011,enrolled,female,796
2009-2010,applied,male,15413
2009-2010,applied,female,15016
2009-2010,admitted,male,1260
2009-2010,admitted,female,1166
2009-2010,enrolled,male,864
2009-2010,enrolled,female,830
2008-2009,applied,male,12994
2008-2009,applied,female,12305
2008-2009,admitted,male,1248
2008-2009,admitted,female,1152
2008-2009,enrolled,male,872
2008-2009,enrolled,female,831
