year,metric,value
2025-2026,applied,60646
2025-2026,admitted,2302
2025-2026,enrolled,1839
2024-2025,applied,57326
2024-2025,admitted,2067
2024-2025,enrolled,1693
2023-2024,applied,53733
2023-2024,admitted,2099
2023-2024,enrolled,1699
2022-2023,applied,56378
2022-2023,admitted,2075
2022-2023,enrolled,1736
2021-2022,applied,55471
2021-2022,admitted,2190
2021-2022,enrolled,1757
2020-2021,applied,45227
2020-2021,admitted,2349
2020-2021,enrolled,1607
2019-2020,applied,47498
2019-2020,admitted,2062
2019-2020,enrolled,1701
2018-2019,applied,47452
2018-2019,admitted,2071
2018-2019,enrolled,1697
2017-2018,applied,44073
2017-2018,admitted,2085
2017-2018,enrolled,1703
2016-2017,applied,43997
2016-2017,admitted,2118
2016-2017,enrolled,1739
2015-2016,applied,42497
2015-2016,admitted,2140
2015-2016,enrolled,1720
2014-2015,applied,42167
2014-2015,admitted,2145
2014-2015,enrolled,1678
2013-2014,applied,38828
2013-2014,admitted,2208
2013-2014,enrolled,1677
2012-2013,applied,36632
2012-2013,admitted,2423
2012-2013,enrolled,1765
2011-2012,applied,34348
2011-2012,admitted,2437
2011-2012,enrolled,1707
2010-2011,applied,32022
2010-2011,admitted,2340
2010-2011,enrolled,1674
2009-2010,applied,30429
2009-2010,admitted,2426
2009-2010,enrolled,1694
2008-2009,applied,25299
2008-2009,admitted,2400
2008-2009,enrolled,1703
