year,category,male,female,unknown
2025-2026,undergrad_FT_total,3572,3717,
2025-2026,undergrad_PT_total,32,25,
2025-2026,undergrad_total,3604,3742,
2025-2026,graduate_FT_total,5072,4618,
2025-2026,graduate_PT_total,733,352,
2025-2026,graduate_total,5805,4970,
2025-2026,total_FT_students,8644,8335,
2025-2026,total_PT_students,765,377,
2025-2026,total_undergraduates,7346,,
2025-2026,total_graduate,10775,,
2025-2026,grand_total,18121,,
2025-2026,FT_first_time_first_year,960,906,
2024-2025,undergrad_FT_total,3654,3900,0
2024-2025,undergrad_PT_total,186,164,0
2024-2025,undergrad_total,3840,4064,
2024-2025,graduate_FT_total,5105,4573,0
2024-2025,graduate_PT_total,722,321,0
2024-2025,graduate_total,5827,4894,
2024-2025,total_undergraduates,7904,,
2024-2025,total_graduate,10721,,
2024-2025,grand_total,18625,,
2023-2024,undergrad_total,3789,111,4052
2022-2023,total_undergraduates,8049,,
2022-2023,total_graduate,10234,,
2022-2023,grand_total,18283,,
2021-2022,total_undergraduates,7645,,
2021-2022,total_graduate,10035,,
2021-2022,grand_total,17680,,
2020-2021,total_undergraduates,6366,,
2020-2021,total_graduate,9595,,
2020-2021,grand_total,15961,,
2019-2020,total_undergraduates,6996,,
2019-2020,total_graduate,10253,,
2019-2020,grand_total,17249,,
2018-2019,total_undergraduates,7087,,
2018-2019,total_graduate,10294,,
2018-2019,grand_total,17381,,
2017-2018,total_undergraduates,7062,,
2017-2018,total_graduate,10116,,
2017-2018,grand_total,17178,,
2016-2017,total_undergraduates,7034,,
2016-2017,total_graduate,9880,,
2016-2017,grand_total,16914,,
2015-2016,total_undergraduates,6999,,
2015-2016,total_graduate,9771,,
2015-2016,grand_total,16770,,
2014-2015,total_undergraduates,7019,,
2014-2015,total_graduate,9776,,
2014-2015,grand_total,16795,,
2013-2014,total_undergraduates,7061,,
2013-2014,total_graduate,11075,,
2013-2014,grand_total,18136,,
2012-2013,total_undergraduates,7063,,
2012-2013,total_graduate,11154,,
2012-2013,grand_total,18217,,
2011-2012,total_undergraduates,6988,,
2011-2012,total_graduate,12957,,
2011-2012,grand_total,19945,,
2010-2011,total_undergraduates,6940,,
2010-2011,total_graduate,12595,,
2010-2011,grand_total,19535,,
2009-2010,total_undergraduates,6602,,
2009-2010,total_graduate,11896,,
2009-2010,grand_total,18498,,
2008-2009,total_undergraduates,6532,,
2008-2009,total_graduate,11301,,
2008-2009,grand_total,17833,,
