year,metric,value
2025-2026,student_faculty_ratio,10:1
2025-2026,total_instructional_faculty,2340
2024-2025,student_faculty_ratio,6:1
2024-2025,total_instructional_faculty,2213
2022-2023,student_faculty_ratio,6:1
2022-2023,total_instructional_faculty,2025
2020-2021,student_faculty_ratio,4:1
2020-2021,total_instructional_faculty,2342
2019-2020,student_faculty_ratio,5:1
2019-2020,total_instructional_faculty,2517
2018-2019,student_faculty_ratio,5:1
2018-2019,total_instructional_faculty,2556
2017-2018,student_faculty_ratio,4:1
2017-2018,total_instructional_faculty,1651
2016-2017,student_faculty_ratio,4.25:1
2016-2017,total_instructional_faculty,1637
2015-2016,student_faculty_ratio,4.4:1
2015-2016,total_instructional_faculty,1615
2014-2015,student_faculty_ratio,4:1
2014-2015,total_instructional_faculty,1583
2013-2014,student_faculty_ratio,5:1
2013-2014,total_instructional_faculty,1510
2012-2013,student_faculty_ratio,5:1
2012-2013,total_instructional_faculty,1508
2011-2012,student_faculty_ratio,5:1
2011-2012,total_instructional_faculty,1452
2010-2011,student_faculty_ratio,6:1
2010-2011,total_instructional_faculty,1014
2009-2010,student_faculty_ratio,6:1
2009-2010,total_instructional_faculty,1023
2008-2009,student_faculty_ratio,6.4:1
2008-2009,total_instructional_faculty,1002
