year,metric,value
2025-2026,rate_6yr_pct,89.5
2025-2026,freshman_retention_rate_pct,97.0
2024-2025,rate_6yr_pct,87.6
2024-2025,freshman_retention_rate_pct,98.2
2022-2023,rate_6yr_pct,90.3
2022-2023,freshman_retention_rate_pct,98.3
2020-2021,rate_6yr_pct,95.2
2020-2021,freshman_retention_rate_pct,85.8
2019-2020,rate_6yr_pct,90.8
2019-2020,freshman_retention_rate_pct,98.8
2018-2019,rate_6yr_pct,92.61
2018-2019,freshman_retention_rate_pct,98.82
2017-2018,rate_6yr_pct,94.25
2017-2018,freshman_retention_rate_pct,98.0
2016-2017,rate_6yr_pct,94.0
2016-2017,freshman_retention_rate_pct,98.0
2014-2015,rate_6yr_pct,95.0
2014-2015,freshman_retention_rate_pct,98.45
2013-2014,rate_6yr_pct,96.0
2013-2014,freshman_retention_rate_pct,99.0
2012-2013,rate_6yr_pct,95.0
2012-2013,freshman_retention_rate_pct,98.0
2011-2012,rate_6yr_pct,96.0
2011-2012,freshman_retention_rate_pct,98.0
2010-2011,rate_6yr_pct,95.0
2010-2011,freshman_retention_rate_pct,98.0
2009-2010,rate_6yr_pct,95.0
2009-2010,freshman_retention_rate_pct,98.0
2008-2009,freshman_retention_rate_pct,98.3
